ORIG_FID,Flood_Sum,Aspect_Mea,Dem_Mean,Dem_Std,Slope_Mean,Impervious,WaterBody_,WorldPop_M,evp2021,pre2021,prs2021,rhu2021,Light_N,HenanPr,rain0715,rain0716,rain0717,rain0718,rain0719,rain0720,rain0721,rain0722,rain0723,rain0724,rain0725,Join_Count,FloodArea,Label,newLabel
0,374,168.3549957,285.526001,20.1369991,11.1535997,1898,0,0.607332,1237.459961,1295.5,983.8519897,60.2137985,1.21562,93.6179962,0,0,0,0,83.8013992,93.6179962,50.7215996,0,0,0,0,0,374,,
1,600,160.6119995,229.9859924,8.4051199,4.0057302,2169,0,6.0216198,1240.290039,1297.26001,985.5050049,60.1344986,1.64694,94.4798965,0,0,0,0,84.1031036,94.4798965,51.1174011,0,0,0,0,0,600,,
2,1,211.947998,444.480011,26.0695992,19.1772003,0,0,0,1210.02002,1244.140015,972.2290039,60.9804993,0.679778,107.4459991,0,0,0,0,67.8720016,107.4459991,49.612999,0,0,0,0,0,1,,
3,2,218.1150055,402.3380127,34.7829018,18.6690998,104,0,0,1210.810059,1250.219971,971.9639893,60.9612999,0.639382,105.947998,0,0,0,0,69.2923965,105.947998,49.5498009,0,0,0,0,0,2,,
4,0,196.6170044,475.3359985,56.2612991,22.7241993,126,0,0,1211.219971,1257.040039,971.3670044,60.9541016,0.600541,104.2509995,0,0,0,0,70.7450027,104.2509995,49.5136986,0,0,0,0,0,0,N,
5,238,220.1000061,540.0170288,62.8260002,27.0142002,0,0,0,1207.290039,1272.560059,966.8309937,61.0886002,0.615619,102.5550003,0,0,0,0,72.1976013,102.5550003,49.4775009,0,0,0,0,0,238,,
6,8,236.9680023,392.9670105,25.7882996,18.0983009,397,0,0,1203.660034,1287.479981,962.5679932,61.2136002,0.656548,100.8580017,0,0,0,0,73.6501999,100.8580017,49.4412994,0,0,0,0,0,8,,
7,185,193.927002,401.9190063,22.3964005,15.3903999,1347,0,0,1203.569946,1295.290039,961.5319824,61.2243004,0.617198,99.1617966,0,0,0,0,75.1027985,99.1617966,49.405201,0,0,0,0,0,185,,
8,113,142.2149963,464.3169861,38.8412018,21.3360004,367,0,0,1203.680054,1302.699951,960.677002,61.2285995,0.57216,97.4653015,0,0,0,0,76.555397,97.4653015,49.3689995,0,0,0,0,0,113,,
9,148,158.4790039,559.1810303,47.9048996,25.8943005,0,0,0,1206.140015,1305.400024,961.9550171,61.1576996,0.592485,95.7686996,0,0,0,0,78.0078964,95.7686996,49.3328018,0,0,0,0,0,148,,
