parameter,state,target,P(低)_base,P(低)_test,ΔP(低),P(中)_base,P(中)_test,ΔP(中),P(高)_base,P(高)_test,ΔP(高),avg_|ΔP|
海拔,低,内涝风险,,,,,,,0.5004,0.5496,0.0492,0.0492
海拔,高,内涝风险,,,,,,,0.5004,0.4513,-0.0491,0.0491
降水强度,高,内涝风险,,,,,,,0.5004,0.5377,0.0373,0.0373
降水强度,低,内涝风险,,,,,,,0.5004,0.4632,-0.0372,0.0372
海拔,高,内涝风险,0.2193,0.2503,0.031,,,,,,,0.031
海拔,低,内涝风险,0.2193,0.1884,-0.0309,,,,,,,0.0309
降水强度,低,内涝风险,0.2193,0.2419,0.0226,,,,,,,0.0226
降水强度,高,内涝风险,0.2193,0.1968,-0.0225,,,,,,,0.0225
海拔,低,内涝风险,,,,0.2802,0.262,-0.0182,,,,0.0182
海拔,高,内涝风险,,,,0.2802,0.2984,0.0182,,,,0.0182
蒸发量,大,内涝风险,,,,,,,0.5004,0.4841,-0.0163,0.0163
垂直风切变,大,内涝风险,,,,,,,0.5004,0.5167,0.0163,0.0163
垂直风切变,小,内涝风险,,,,,,,0.5004,0.4841,-0.0163,0.0163
蒸发量,小,内涝风险,,,,,,,0.5004,0.5167,0.0163,0.0163
降水强度,低,内涝风险,,,,0.2802,0.2949,0.0147,,,,0.0147
降水强度,高,内涝风险,,,,0.2802,0.2655,-0.0147,,,,0.0147
历史排水时间,快,内涝风险,,,,,,,0.5004,0.4874,-0.013,0.013
历史排水时间,慢,内涝风险,,,,,,,0.5004,0.5134,0.013,0.013
管网排水能力,弱,内涝风险,,,,,,,0.5004,0.5121,0.0117,0.0117
管网排水能力,强,内涝风险,,,,,,,0.5004,0.4887,-0.0117,0.0117
垂直风切变,小,内涝风险,0.2193,0.2294,0.0101,,,,,,,0.0101
蒸发量,大,内涝风险,0.2193,0.2294,0.0101,,,,,,,0.0101
蒸发量,小,内涝风险,0.2193,0.2093,-0.01,,,,,,,0.01
垂直风切变,大,内涝风险,0.2193,0.2093,-0.01,,,,,,,0.01
前期土壤含水量,高,内涝风险,,,,,,,0.5004,0.5103,0.0099,0.0099
道路积水历史频率,低,内涝风险,,,,,,,0.5004,0.4905,-0.0099,0.0099
应急排水能力,弱,内涝风险,,,,,,,0.5004,0.5102,0.0098,0.0098
前期土壤含水量,低,内涝风险,,,,,,,0.5004,0.4906,-0.0098,0.0098
应急排水能力,强,内涝风险,,,,,,,0.5004,0.4907,-0.0097,0.0097
道路积水历史频率,高,内涝风险,,,,,,,0.5004,0.51,0.0096,0.0096
河道水位,正常,内涝风险,,,,,,,0.5004,0.4913,-0.0091,0.0091
河道水位,危险,内涝风险,,,,,,,0.5004,0.5089,0.0085,0.0085
历史排水时间,快,内涝风险,0.2193,0.2273,0.008,,,,,,,0.008
历史排水时间,慢,内涝风险,0.2193,0.2114,-0.0079,,,,,,,0.0079
降水时长,长,内涝风险,,,,,,,0.5004,0.5079,0.0075,0.0075
降水时长,短,内涝风险,,,,,,,0.5004,0.493,-0.0074,0.0074
径流系数,大,内涝风险,,,,,,,0.5004,0.5078,0.0074,0.0074
径流系数,小,内涝风险,,,,,,,0.5004,0.4931,-0.0073,0.0073
管网排水能力,强,内涝风险,0.2193,0.2265,0.0072,,,,,,,0.0072
管网排水能力,弱,内涝风险,0.2193,0.2122,-0.0071,,,,,,,0.0071
